trip_id,stop_id,direction,arrival,departure,stop_seq,timepoint,pickup,dropoff,display,driver
1-1-R1-S1-12,305a,Lewis North,18:07:30,18:07:30,8,0,3,3,1,
1-1-R1-S1-12,307a,Lewis North,18:08:00,18:08:00,9,0,3,3,1,
1-1-R1-S1-12,308a,Lewis North,18:08:30,18:08:30,10,0,3,3,1,
1-1-R1-S1-12,310a,Lewis North,18:09:00,18:09:00,11,0,3,3,1,
1-1-R1-S1-12,313a,Lewis North,18:09:30,18:09:30,12,0,3,3,1,
1-1-R1-S1-12,400a,Lewis North,18:11:00,18:11:00,13,0,3,3,1,
1-1-R1-S1-12,410a,Lewis North,18:16:00,18:16:00,14,0,3,3,1,
1-1-R1-S1-12,413a,Lewis North,18:17:00,18:17:00,15,0,3,3,1,
1-1-R1-S1-12,414a,Lewis North,18:18:00,18:18:00,16,0,3,3,1,
1-1-R1-S1-12,415a,Lewis North,18:18:30,18:18:30,17,0,3,3,1,
1-1-R1-S1-12,452a,Lewis North,18:21:00,18:21:00,18,0,3,3,1,
1-1-R1-S1-12,465a,Lewis North,18:22:00,18:22:00,19,0,3,3,1,
1-1-R1-S1-12,474a,Lewis North,18:23:00,18:23:00,20,0,3,3,1,
1-1-R1-S1-13,452a,Lewis North,07:01:00,07:01:00,18,0,3,3,1,
1-1-R1-S1-13,465a,Lewis North,07:02:00,07:02:00,19,0,3,3,1,
1-1-R1-S1-13,474a,Lewis North,07:03:00,07:03:00,20,0,3,3,1,
1-1-R1-S1-14,100a,Lewis North,07:40:00,07:40:00,0,1,0,0,1,
1-1-R1-S1-14,101a,Lewis North,07:40:45,07:40:45,1,0,3,3,1,
1-1-R1-S1-14,140a,Lewis North,07:41:30,07:41:30,2,0,3,3,1,
1-1-R1-S1-14,141a,Lewis North,07:42:00,07:42:00,3,0,3,3,1,
1-1-R1-S1-14,201a,Lewis North,07:43:30,07:43:30,4,0,3,3,1,
1-1-R1-S1-14,212a,Lewis North,07:44:00,07:44:00,5,0,3,3,1,
1-1-R1-S1-14,217a,Lewis North,07:45:00,07:45:00,6,0,3,3,1,
1-1-R1-S1-14,303a,Lewis North,07:47:00,07:47:00,7,0,3,3,1,
1-1-R1-S1-14,305a,Lewis North,07:47:30,07:47:30,8,0,3,3,1,
1-1-R1-S1-14,307a,Lewis North,07:48:00,07:48:00,9,0,3,3,1,
1-1-R1-S1-14,308a,Lewis North,07:48:30,07:48:30,10,0,3,3,1,
1-1-R1-S1-14,310a,Lewis North,07:49:00,07:49:00,11,0,3,3,1,
1-1-R1-S1-14,313a,Lewis North,07:49:30,07:49:30,12,0,3,3,1,
1-1-R1-S1-14,400a,Lewis North,07:51:00,07:51:00,13,0,3,3,1,
1-1-R1-S1-14,410a,Lewis North,07:56:00,07:56:00,14,0,3,3,1,
1-1-R1-S1-14,413a,Lewis North,07:57:00,07:57:00,15,0,3,3,1,
1-1-R1-S1-14,414a,Lewis North,07:58:00,07:58:00,16,0,3,3,1,
1-1-R1-S1-14,415a,Lewis North,07:58:30,07:58:30,17,0,3,3,1,
1-1-R1-S1-14,452a,Lewis North,08:01:00,08:01:00,18,0,3,3,1,
1-1-R1-S1-14,465a,Lewis North,08:02:00,08:02:00,19,0,3,3,1,
1-1-R1-S1-14,474a,Lewis North,08:03:00,08:03:00,20,0,3,3,1,
1-1-R1-S1-15,100a,Lewis North,08:40:00,08:40:00,0,1,0,0,1,
1-1-R1-S1-15,101a,Lewis North,08:40:45,08:40:45,1,0,3,3,1,
1-1-R1-S1-15,140a,Lewis North,08:41:30,08:41:30,2,0,3,3,1,
1-1-R1-S1-15,141a,Lewis North,08:42:00,08:42:00,3,0,3,3,1,
1-1-R1-S1-15,201a,Lewis North,08:43:30,08:43:30,4,0,3,3,1,
1-1-R1-S1-15,212a,Lewis North,08:44:00,08:44:00,5,0,3,3,1,
1-1-R1-S1-15,217a,Lewis North,08:45:00,08:45:00,6,0,3,3,1,
1-1-R1-S1-15,303a,Lewis North,08:47:00,08:47:00,7,0,3,3,1,
1-1-R1-S1-15,305a,Lewis North,08:47:30,08:47:30,8,0,3,3,1,
1-1-R1-S1-15,307a,Lewis North,08:48:00,08:48:00,9,0,3,3,1,
1-1-R1-S1-15,308a,Lewis North,08:48:30,08:48:30,10,0,3,3,1,
1-1-R1-S1-15,310a,Lewis North,08:49:00,08:49:00,11,0,3,3,1,
1-1-R1-S1-15,313a,Lewis North,08:49:30,08:49:30,12,0,3,3,1,
1-1-R1-S1-15,400a,Lewis North,08:51:00,08:51:00,13,0,3,3,1,
1-1-R1-S1-15,410a,Lewis North,08:56:00,08:56:00,14,0,3,3,1,
1-1-R1-S1-15,413a,Lewis North,08:57:00,08:57:00,15,0,3,3,1,
1-1-R1-S1-15,414a,Lewis North,08:58:00,08:58:00,16,0,3,3,1,
1-1-R1-S1-15,415a,Lewis North,08:58:30,08:58:30,17,0,3,3,1,
1-1-R1-S1-15,452a,Lewis North,09:01:00,09:01:00,18,0,3,3,1,
1-1-R1-S1-15,465a,Lewis North,09:02:00,09:02:00,19,0,3,3,1,
1-1-R1-S1-15,474a,Lewis North,09:03:00,09:03:00,20,0,3,3,1,
1-1-R1-S1-16,100a,Lewis North,09:40:00,09:40:00,0,1,0,0,1,
1-1-R1-S1-16,101a,Lewis North,09:40:45,09:40:45,1,0,3,3,1,
1-1-R1-S1-16,140a,Lewis North,09:41:30,09:41:30,2,0,3,3,1,
1-1-R1-S1-16,141a,Lewis North,09:42:00,09:42:00,3,0,3,3,1,
1-1-R1-S1-16,201a,Lewis North,09:43:30,09:43:30,4,0,3,3,1,
1-1-R1-S1-16,212a,Lewis North,09:44:00,09:44:00,5,0,3,3,1,
1-1-R1-S1-16,217a,Lewis North,09:45:00,09:45:00,6,0,3,3,1,
1-1-R1-S1-16,303a,Lewis North,09:47:00,09:47:00,7,0,3,3,1,
1-1-R1-S1-16,305a,Lewis North,09:47:30,09:47:30,8,0,3,3,1,
1-1-R1-S1-16,307a,Lewis North,09:48:00,09:48:00,9,0,3,3,1,
1-1-R1-S1-16,308a,Lewis North,09:48:30,09:48:30,10,0,3,3,1,
1-1-R1-S1-16,310a,Lewis North,09:49:00,09:49:00,11,0,3,3,1,
1-1-R1-S1-16,313a,Lewis North,09:49:30,09:49:30,12,0,3,3,1,
1-1-R1-S1-16,400a,Lewis North,09:51:00,09:51:00,13,0,3,3,1,
1-1-R1-S1-16,410a,Lewis North,09:56:00,09:56:00,14,0,3,3,1,
1-1-R1-S1-16,413a,Lewis North,09:57:00,09:57:00,15,0,3,3,1,
1-1-R1-S1-16,414a,Lewis North,09:58:00,09:58:00,16,0,3,3,1,
1-1-R1-S1-16,415a,Lewis North,09:58:30,09:58:30,17,0,3,3,1,
1-1-R1-S1-16,452a,Lewis North,10:01:00,10:01:00,18,0,3,3,1,
1-1-R1-S1-16,465a,Lewis North,10:02:00,10:02:00,19,0,3,3,1,
1-1-R1-S1-16,474a,Lewis North,10:03:00,10:03:00,20,0,3,3,1,
1-1-R1-S1-17,100a,Lewis North,10:40:00,10:40:00,0,1,0,0,1,
1-1-R1-S1-17,101a,Lewis North,10:40:45,10:40:45,1,0,3,3,1,
1-1-R1-S1-17,140a,Lewis North,10:41:30,10:41:30,2,0,3,3,1,
1-1-R1-S1-17,141a,Lewis North,10:42:00,10:42:00,3,0,3,3,1,
1-1-R1-S1-17,201a,Lewis North,10:43:30,10:43:30,4,0,3,3,1,
1-1-R1-S1-17,212a,Lewis North,10:44:00,10:44:00,5,0,3,3,1,
1-1-R1-S1-17,217a,Lewis North,10:45:00,10:45:00,6,0,3,3,1,
