OPERATION,NWF_ID,EXTERNAL_CUSTOMER_ID,ICON_NAME,LANDMARK_NAME,LATITUDE,LONGITUDE,ADDRESS,FENCE_RADIUS,FENCE_RADIUS_UNITS,TYPE,LANDMARK_CATEGORY,SHOW_ON_OVERVIEW,LANDMARK_ONLY,PRIVATE_USER_ID
CREATE,,275a,bus,1st Brigade Headquarters (a),47.07945,-122.58955833333333,,100,F,Customer,Stop,YES,No,
CREATE,,275b,bus,1st Brigade Headquarters (b),47.07966944444445,-122.59012222222222,,100,F,Customer,Stop,YES,No,
CREATE,,276a,bus,Stryker & 41st Division (a),47.08181944444445,-122.59335,,100,F,Customer,Stop,YES,No,
CREATE,,276b,bus,Stryker & 41st Division (b),47.08170833333334,-122.59336944444443,,100,F,Customer,Stop,YES,No,
CREATE,,300a,bus,Post Exchange (a),47.09334166666667,-122.58870555555555,,100,F,Customer,Stop,YES,No,
CREATE,,300b,bus,Post Exchange (b),47.09328611111111,-122.58824166666666,,100,F,Customer,Stop,YES,No,
CREATE,,300c,bus,Post Exchange (c),47.09326111111111,-122.58835833333333,,100,F,Customer,Stop,YES,No,
CREATE,,300d,bus,Post Exchange (d),47.093161111111115,-122.58863888888888,,100,F,Customer,Stop,YES,No,
CREATE,,303a,bus,14TH & Pendleton (a),47.08993888888889,-122.59069166666666,,100,F,Customer,Stop,YES,No,
CREATE,,303b,bus,14TH & Pendleton (b),47.08974166666667,-122.58975277777778,,100,F,Customer,Stop,YES,No,
CREATE,,304a,bus,Commissary (a),47.089955555555555,-122.5925861111111,,100,F,Customer,Stop,YES,No,
CREATE,,304b,bus,Commissary (b),47.08977222222222,-122.59220555555555,,100,F,Customer,Stop,YES,No,
CREATE,,305a,bus,Waller Hall (a),47.09000555555556,-122.59577777777777,,100,F,Customer,Stop,YES,No,
CREATE,,305b,bus,Waller Hall (b),47.08983611111111,-122.59571666666666,,100,F,Customer,Stop,YES,No,
CREATE,,307a,bus,Rainier Inn (a),47.08996944444445,-122.6001861111111,,100,F,Customer,Stop,YES,No,
CREATE,,307b,bus,Rainier Inn (b),47.08979166666667,-122.60015277777777,,100,F,Customer,Stop,YES,No,
CREATE,,308a,bus,I Corps (a),47.09045833333334,-122.60369722222222,,100,F,Customer,Stop,YES,No,
CREATE,,308b,bus,I Corps (b),47.090297222222226,-122.60364444444444,,100,F,Customer,Stop,YES,No,
CREATE,,309a,bus,Reception Center (a),47.09070277777778,-122.60514166666665,,100,F,Customer,Stop,YES,No,
CREATE,,310a,bus,Public Works (a),47.09153611111111,-122.60743055555555,,100,F,Customer,Stop,YES,No,
CREATE,,310b,bus,Public Works (b),47.09130277777778,-122.60718333333332,,100,F,Customer,Stop,YES,No,
CREATE,,311a,bus,DFMWR (a),47.09213888888889,-122.60951944444444,,100,F,Customer,Stop,YES,No,
CREATE,,311b,bus,DFMWR (b),47.091972222222225,-122.60950555555554,,100,F,Customer,Stop,YES,No,
CREATE,,313a,bus,French Theatre (a),47.09303611111111,-122.61281666666666,,100,F,Customer,Stop,YES,No,
CREATE,,313b,bus,French Theatre (b),47.09278333333334,-122.61234444444443,,100,F,Customer,Stop,YES,No,
CREATE,,315a,bus,Joint-Base Headquarters (a),47.09246111111111,-122.61457499999999,,100,F,Customer,Stop,YES,No,
CREATE,,316a,bus,Main Chapel (a),47.09140555555556,-122.61364722222221,,100,F,Customer,Stop,YES,No,
CREATE,,320a,bus,Jensen Gym (a),47.088794444444446,-122.60519444444444,,100,F,Customer,Stop,YES,No,
CREATE,,320b,bus,Jensen Gym (b),47.08893888888889,-122.60511666666666,,100,F,Customer,Stop,YES,No,
CREATE,,322a,bus,McVeigh Fitness (a),47.08813888888889,-122.60096666666666,,100,F,Customer,Stop,YES,No,
CREATE,,322b,bus,McVeigh Fitness (b),47.08827222222222,-122.60093055555555,,100,F,Customer,Stop,YES,No,
CREATE,,324a,bus,Carey Theater (a),47.08804444444445,-122.59783888888889,,100,F,Customer,Stop,YES,No,
CREATE,,324b,bus,Carey Theater (b),47.088166666666666,-122.59788055555555,,100,F,Customer,Stop,YES,No,
CREATE,,325a,bus,Cowan Stadium (a),47.08800277777778,-122.59509444444444,,100,F,Customer,Stop,YES,No,
CREATE,,325b,bus,Cowan Stadium (b),47.08813333333334,-122.59508888888888,,100,F,Customer,Stop,YES,No,
CREATE,,327a,bus,The Commons (a),47.087894444444444,-122.59161944444443,,100,F,Customer,Stop,YES,No,
CREATE,,327b,bus,The Commons (b),47.087922222222225,-122.59046666666666,,100,F,Customer,Stop,YES,No,
CREATE,,375a,bus,9TH Division & Mann AVE (a),47.08605555555556,-122.6172111111111,,100,F,Customer,Stop,YES,No,
CREATE,,378a,bus,Pittman Complex (a),47.08724166666667,-122.62300833333333,,100,F,Customer,Stop,YES,No,
CREATE,,379a,bus,Albanese Hall (a),47.08792777777778,-122.62551111111111,,100,F,Customer,Stop,YES,No,
CREATE,,388a,bus,ITAM (a),47.089111111111116,-122.6218111111111,,100,F,Customer,Stop,YES,No,
CREATE,,391a,bus,Main Post Office (a),47.091350000000006,-122.61697222222222,,100,F,Customer,Stop,YES,No,
CREATE,,395a,bus, (a),47.089866666666666,-122.61459722222222,,100,F,Customer,Stop,YES,No,
CREATE,,400a,bus,Army Museum (a),47.097613888888894,-122.61686666666667,,100,F,Customer,Stop,YES,No,
CREATE,,400b,bus,Army Museum (b),47.09770555555556,-122.61694722222222,,100,F,Customer,Stop,YES,No,
CREATE,,410a,bus,Raindrops and Rainbows CDC (a),47.11282222222222,-122.59108333333333,,100,F,Customer,Stop,YES,No,
CREATE,,410b,bus,Raindrops and Rainbows CDC (b),47.11280555555556,-122.59125555555555,,100,F,Customer,Stop,YES,No,
CREATE,,413a,bus,Beachwood Elementary (a),47.12008055555555,-122.58979444444444,,100,F,Customer,Stop,YES,No,
CREATE,,413b,bus,Beachwood Elementary (b),47.120075,-122.58997777777778,,100,F,Customer,Stop,YES,No,
CREATE,,414a,bus,Eagle View II (a),47.12251111111111,-122.59168888888888,,100,F,Customer,Stop,YES,No,
CREATE,,414b,bus,Eagle View II (b),47.1224,-122.59175833333333,,100,F,Customer,Stop,YES,No,
CREATE,,415a,bus,Eagle View (a),47.12464166666667,-122.59505833333333,,100,F,Customer,Stop,YES,No,
CREATE,,415b,bus,Eagle View (b),47.12445,-122.59505555555555,,100,F,Customer,Stop,YES,No,
CREATE,,450a,bus,Lewis North ACU (a),47.12595,-122.59825277777777,,100,F,Customer,Stop,YES,No,
CREATE,,450b,bus,Lewis North ACU (b),47.12616111111111,-122.59846388888889,,100,F,Customer,Stop,YES,No,
CREATE,,450c,bus,Lewis North ACU (c),47.126044444444446,-122.59889722222222,,100,F,Customer,Stop,YES,No,
CREATE,,451a,bus,Lewis North Shoppette (a),47.124161111111114,-122.60040277777777,,100,F,Customer,Stop,YES,No,
CREATE,,452a,bus,Lancer DFAC (a),47.125236111111114,-122.6023361111111,,100,F,Customer,Stop,YES,No,
CREATE,,453a,bus,Hawk Education (a),47.12633611111111,-122.604075,,100,F,Customer,Stop,YES,No,
CREATE,,464a,bus,  (a),47.12716944444445,-122.605375,,100,F,Customer,Stop,YES,No,
CREATE,,465a,bus,Sports Complex (a),47.12891944444444,-122.60818333333333,,100,F,Customer,Stop,YES,No,
CREATE,,474a,bus,17 FIB Barracks (a),47.12885277777778,-122.61298055555555,,100,F,Customer,Stop,YES,No,
CREATE,,475a,bus,  (a),47.131708333333336,-122.61299722222222,,100,F,Customer,Stop,YES,No,
CREATE,,476a,bus,2-2 SBCT Motor Pool (a),47.13288055555556,-122.61146944444444,,100,F,Customer,Stop,YES,No,
CREATE,,477a,bus,  (a),47.132983333333335,-122.60991944444444,,100,F,Customer,Stop,YES,No,
CREATE,,478a,bus,  (a),47.13138611111111,-122.60734722222222,,100,F,Customer,Stop,YES,No,
CREATE,,479a,bus,  (a),47.129841666666664,-122.60483888888888,,100,F,Customer,Stop,YES,No,
CREATE,,480a,bus,Warrior Zone (a),47.12853333333334,-122.60281111111111,,100,F,Customer,Stop,YES,No,
CREATE,,481a,bus,2-2 SBCT Barracks (a),47.12695277777778,-122.60031111111111,,100,F,Customer,Stop,YES,No,
CREATE,,482a,bus,  (a),47.12963055555556,-122.59966944444444,,100,F,Customer,Stop,YES,No,
CREATE,,483a,bus,  (a),47.13126944444444,-122.59745555555556,,100,F,Customer,Stop,YES,No,
CREATE,,484a,bus,2-2 SBCT HQ (a),47.13002222222222,-122.5953611111111,,100,F,Customer,Stop,YES,No,
CREATE,,485a,bus,  (a),47.12782222222222,-122.59623611111111,,100,F,Customer,Stop,YES,No,
CREATE,,600a,bus,Logistics HQ (a),47.11572777777778,-122.54290277777777,,100,F,Customer,Stop,YES,No,
CREATE,,600b,bus,Logistics HQ (b),47.11581666666667,-122.54302222222222,,100,F,Customer,Stop,YES,No,
CREATE,,620a,bus,CIF (a),47.11151666666667,-122.5362,,100,F,Customer,Stop,YES,No,
CREATE,,620b,bus,CIF (b),47.111716666666666,-122.53569444444445,,100,F,Customer,Stop,YES,No,
CREATE,,700a,bus,Lincoln & Barnes (a),47.123047222222226,-122.49385555555556,,100,F,Customer,Stop,YES,No,
CREATE,,700b,bus,Lincoln & Barnes (b),47.12248888888889,-122.49411388888889,,100,F,Customer,Stop,YES,No,
CREATE,,701a,bus,McChord Exchange (a),47.12623333333333,-122.49389166666667,,100,F,Customer,Stop,YES,No,
CREATE,,701b,bus,McChord Exchange (b),47.12656111111111,-122.49410833333333,,100,F,Customer,Stop,YES,No,
CREATE,,704a,bus,McChord Clinic (a),47.13077222222222,-122.49383055555556,,100,F,Customer,Stop,YES,No,
CREATE,,704b,bus,McChord Clinic (b),47.130766666666666,-122.49411944444445,,100,F,Customer,Stop,YES,No,
CREATE,,705a,bus,COL Joe Jackson & Barnes (a),47.132019444444445,-122.49384166666667,,100,F,Customer,Stop,YES,No,
CREATE,,705b,bus,COL Joe Jackson & Barnes (b),47.132025,-122.49408055555556,,100,F,Customer,Stop,YES,No,
CREATE,,730a,bus,McChord DFAC (a),47.12902777777778,-122.49263055555555,,100,F,Customer,Stop,YES,No,
CREATE,,741a,bus,C ST & 4TH ST (a),47.133069444444445,-122.491175,,100,F,Customer,Stop,YES,No,
CREATE,,741b,bus,C ST & 4TH ST (b),47.133202777777775,-122.49118888888889,,100,F,Customer,Stop,YES,No,
CREATE,,744a,bus,The Castle & Customer Service Mall (a),47.13385,-122.48717777777777,,100,F,Customer,Stop,YES,No,
CREATE,,744b,bus,The Castle & Customer Service Mall (b),47.13381666666667,-122.487375,,100,F,Customer,Stop,YES,No,
CREATE,,745a,bus,F ST & 3rd ST (a),47.13509444444444,-122.48655277777777,,100,F,Customer,Stop,YES,No,
CREATE,,745b,bus,F ST & 3rd ST (b),47.13511666666667,-122.48672222222223,,100,F,Customer,Stop,YES,No,
CREATE,,750a,bus,B ST & 4TH ST (a),47.13611944444445,-122.4889388888889,,100,F,Customer,Stop,YES,No,
CREATE,,750b,bus,B ST & 4TH ST (b),47.136208333333336,-122.48930277777778,,100,F,Customer,Stop,YES,No,
CREATE,,754a,bus,MWR Craft Shop (a),47.14183333333333,-122.4925638888889,,100,F,Customer,Stop,YES,No,
CREATE,,754b,bus,MWR Craft Shop (b),47.14190555555555,-122.4927111111111,,100,F,Customer,Stop,YES,No,
CREATE,,764a,bus,Logistics Readiness Squadron (a),47.14136944444444,-122.49050833333334,,100,F,Customer,Stop,YES,No,
CREATE,,765a,bus,Air Crew Life Support (a),47.142427777777776,-122.48670833333334,,100,F,Customer,Stop,YES,No,
CREATE,,766a,bus,C-141 Memorial (a),47.143575,-122.486425,,100,F,Customer,Stop,YES,No,
CREATE,,770a,bus,Club at McChord Field (a),47.13921388888889,-122.493825,,100,F,Customer,Stop,YES,No,
CREATE,,770b,bus,Club at McChord Field (b),47.13922222222222,-122.49403333333333,,100,F,Customer,Stop,YES,No,
CREATE,,772a,bus,Evergreen McChord Lodging (a),47.144425,-122.49375833333333,,100,F,Customer,Stop,YES,No,
CREATE,,772b,bus,Evergreen McChord Lodging (b),47.14445833333333,-122.49400555555556,,100,F,Customer,Stop,YES,No,
CREATE,,777a,bus,Flight Simulator (a),47.15205833333333,-122.49098611111111,,100,F,Customer,Stop,YES,No,
CREATE,,777b,bus,Flight Simulator (b),47.15221944444444,-122.49145,,100,F,Customer,Stop,YES,No,
CREATE,,778a,bus,373rd Training Detachment (a),47.15205833333333,-122.48755555555556,,100,F,Customer,Stop,YES,No,
CREATE,,778b,bus,373rd Training Detachment (b),47.15218888888889,-122.48795555555556,,100,F,Customer,Stop,YES,No,
CREATE,,780a,bus,Passenger Terminal (a),47.15034166666666,-122.4850388888889,,100,F,Customer,Stop,YES,No,
CREATE,,780b,bus,Passenger Terminal (b),47.15205833333333,-122.4847861111111,,100,F,Customer,Stop,YES,No,
CREATE,,780c,bus,Passenger Terminal (c),47.15218055555555,-122.48521944444444,,100,F,Customer,Stop,YES,No,
CREATE,,782a,bus,North Gate Internal (a),47.15428055555555,-122.48345277777779,,100,F,Customer,Stop,YES,No,
CREATE,,782b,bus,North Gate Internal (b),47.154111111111106,-122.483625,,100,F,Customer,Stop,YES,No,
CREATE,,800a,bus,North Gate External (a),47.15629444444444,-122.48339722222222,,100,F,Customer,Stop,YES,No,
CREATE,,800b,bus,North Gate External (b),47.15656388888889,-122.48366388888888,,100,F,Customer,Stop,YES,No,
CREATE,,801a,bus,512 Park & Ride (a),47.160830555555556,-122.48318333333333,,100,F,Customer,Stop,YES,No,
