D:\go/data/ridership\2016\05\27/20160527_S4B.csv,StopUnavailableForRouteError,The stop 275 is not a part of any routes within joint route 1&2
D:\go/data/ridership\2016\05\27/20160527_S6B.csv,StopValidationError,Boarding stop of None in row 3 is not a valid stop
D:\go/data/ridership\2016\05\31/20160531_S6B.csv,StopUnavailableForRouteError,The stop 113 is not a part of any routes within joint route 3&4
D:\go/data/ridership\2016\06\01/20160601_S1A.csv,StopValidationError,Deboarding stop of None in row 2 is not a valid stop
D:\go/data/ridership\2016\06\08/20160608_S4A.csv,StopValidationError,Deboarding stop of None in row 2 is not a valid stop
D:\go/data/ridership\2016\06\16/20160616_S2A.csv,StopValidationError,Boarding stop of None in row 6 is not a valid stop
D:\go/data/ridership\2016\06\16/20160616_S2A.csv,StopValidationError,Deboarding stop of None in row 6 is not a valid stop
D:\go/data/ridership\2016\06\21/20160621_S6B.csv,StopValidationError,Boarding stop of None in row 8 is not a valid stop
D:\go/data/ridership\2016\07\1/20160701_S4A.csv,StopValidationError,Boarding stop of 1700 in row 8 is not a valid stop
D:\go/data/ridership\2016\07\11/20160711_S4B.csv,StopValidationError,Deboarding stop of 104 in row 10 is not a valid stop
D:\go/data/ridership\2016\07\12/20160712_S7B.csv,StopValidationError,Boarding stop of 840 in row 4 is not a valid stop
D:\go/data/ridership\2016\07\13/20160713_S3B.csv,StopValidationError,Boarding stop of None in row 3 is not a valid stop
D:\go/data/ridership\2016\07\13/20160713_S4B.csv,StopValidationError,Deboarding stop of None in row 2 is not a valid stop
D:\go/data/ridership\2016\07\13/20160713_S6B.csv,StopValidationError,Boarding stop of 202 in row 5 is not a valid stop
D:\go/data/ridership\2016\07\13/20160713_S7B.csv,StopUnavailableForRouteError,The stop 200 is not a part of any routes within joint route 3&4
D:\go/data/ridership\2016\07\13/20160713_S7B.csv,StopUnavailableForRouteError,The stop 200 is not a part of any routes within joint route 3&4
D:\go/data/ridership\2016\07\13/20160713_S7B.csv,StopUnavailableForRouteError,The stop 313 is not a part of any routes within joint route 3&4
D:\go/data/ridership\2016\07\14/20160714_S4B.csv,StopValidationError,Deboarding stop of None in row 13 is not a valid stop
D:\go/data/ridership\2016\07\16/20160716_S10A.csv,StopUnavailableForRouteError,The stop 780 is not a part of any routes within joint route 10&20
D:\go/data/ridership\2016\07\16/20160716_S11A.csv,StopUnavailableForRouteError,The stop 217 is not a part of any routes within joint route 10&20
D:\go/data/ridership\2016\07\17/20160717_S10A.csv,StopUnavailableForRouteError,The stop 217 is not a part of any routes within joint route 10&20
D:\go/data/ridership\2016\07\17/20160717_S11A.csv,StopUnavailableForRouteError,The stop 780 is not a part of any routes within joint route 10&20
D:\go/data/ridership\2016\07\17/20160717_S12A.csv,StopUnavailableForRouteError,The stop 780 is not a part of any routes within joint route 10&20
