D:\go/data/ridership\2015\08\31/20150831_S2B.csv,EmptyDataWarning,File does not contain any data
D:\go/data/ridership\2015\09\02/20150902_S1A.csv,EmptyDataWarning,File does not contain any data
D:\go/data/ridership\2015\09\09/20150909_S3A.csv,EmptyDataWarning,File does not contain any data
D:\go/data/ridership\2015\09\13/20150913_S5A.csv,EmptyDataWarning,File does not contain any data
D:\go/data/ridership\2015\09\13/20150913_S6A.csv,EmptyDataWarning,File does not contain any data
D:\go/data/ridership\2015\09\18/20150918_S3A.csv,EmptyDataWarning,File does not contain any data
D:\go/data/ridership\2015\09\24/20150924_S3B.csv,EmptyDataWarning,File does not contain any data
D:\go/data/ridership\2015\10\22/20151022_S2A.csv,EmptyDataWarning,File does not contain any data
D:\go/data/ridership\2015\11\10/20151110_S5A.csv,EmptyDataWarning,File does not contain any data
D:\go/data/ridership\2015\11\10/20151110_S5B.csv,EmptyDataWarning,File does not contain any data
D:\go/data/ridership\2015\11\12/20151112_S3A.csv,EmptyDataWarning,File does not contain any data
D:\go/data/ridership\2015\11\16/20151116_S4A.csv,EmptyDataWarning,File does not contain any data
D:\go/data/ridership\2015\11\17/20151117_S4A.csv,EmptyDataWarning,File does not contain any data
D:\go/data/ridership\2015\11\18/20151118_S4B.csv,EmptyDataWarning,File does not contain any data
D:\go/data/ridership\2015\11\20/20151120_S5A.csv,EmptyDataWarning,File does not contain any data
D:\go/data/ridership\2015\11\23/20151123_S4A.csv,EmptyDataWarning,File does not contain any data
D:\go/data/ridership\2015\11\30/20151130_S3B.csv,EmptyDataWarning,File does not contain any data
D:\go/data/ridership\2015\11\30/20151130_S5A.csv,EmptyDataWarning,File does not contain any data
D:\go/data/ridership\2015\12\02/20151202_S5A.csv,EmptyDataWarning,File does not contain any data
D:\go/data/ridership\2015\12\08/20151208_S3B.csv,EmptyDataWarning,File does not contain any data
D:\go/data/ridership\2015\12\14/20151214_S1B.csv,EmptyDataWarning,File does not contain any data
D:\go/data/ridership\2015\12\28/20151228_S1B.csv,EmptyDataWarning,File does not contain any data
D:\go/data/ridership\2015\12\31/20151231_S2B.csv,EmptyDataWarning,File does not contain any data
D:\go/data/ridership\2016\02\22/20160222_S1B.csv,EmptyDataWarning,File does not contain any data
D:\go/data/ridership\2016\03\16/20160316_S1B.csv,EmptyDataWarning,File does not contain any data
D:\go/data/ridership\2016\03\21/20160321_S1B.csv,EmptyDataWarning,File does not contain any data
D:\go/data/ridership\2016\03\29/20160329_S2B.csv,EmptyDataWarning,File does not contain any data
D:\go/data/ridership\2016\03\29/20160329_S5B.csv,EmptyDataWarning,File does not contain any data
D:\go/data/ridership\2016\04\12/20160412_S1A.csv,EmptyDataWarning,File does not contain any data
D:\go/data/ridership\2016\04\15/20160415_S1A.csv,EmptyDataWarning,File does not contain any data
D:\go/data/ridership\2016\04\19/20160419_S1A.csv,EmptyDataWarning,File does not contain any data
D:\go/data/ridership\2016\04\22/20160422_S2B.csv,EmptyDataWarning,File does not contain any data
D:\go/data/ridership\2016\04\22/20160422_S4B.csv,EmptyDataWarning,File does not contain any data
D:\go/data/ridership\2016\04\27/20160427_S6B.csv,EmptyDataWarning,File does not contain any data
D:\go/data/ridership\2016\04\29/20160429_S3A.csv,EmptyDataWarning,File does not contain any data
D:\go/data/ridership\2016\04\29/20160429_S7A.csv,EmptyDataWarning,File does not contain any data
D:\go/data/ridership\2016\05\04/20160504_S7B.csv,EmptyDataWarning,File does not contain any data
D:\go/data/ridership\2016\05\11/20160511_S6B.csv,EmptyDataWarning,File does not contain any data
D:\go/data/ridership\2016\05\16/20160516_S7A.csv,EmptyDataWarning,File does not contain any data
D:\go/data/ridership\2016\05\27/20160527_S5A.csv,EmptyDataWarning,File does not contain any data
D:\go/data/ridership\2016\06\22/20160622_S8A.csv,EmptyDataWarning,File does not contain any data
D:\go/data/ridership\2016\06\24/20160624_S5A.csv,EmptyDataWarning,File does not contain any data
D:\go/data/ridership\2016\07\13/20160713_S5A.csv,EmptyDataWarning,File does not contain any data
D:\go/data/ridership\2016\07\5/20160705_S5A.csv,EmptyDataWarning,File does not contain any data
D:\go/data/ridership\2016\07\8/20160708_S5A.csv,EmptyDataWarning,File does not contain any data
